NGC1156         02 59 42.6  +25 14 17   7.80  12.75  10   0.22  12.58  0.09  12.38  0.05
ESO300-G014     03 09 37.8  -41 01 50  11.00  13.00   9   0.02  14.88  0.06  14.65  0.03
ESO300-G016     03 10 10.5  -40 00 11   7.80  15.60  10   0.02  99.99 99.99  17.06  0.04
NGC1291         03 17 18.3  -41 06 28   9.40   9.39   0   0.01  14.23  0.10  13.39  0.05
NGC1313         03 18 15.8  -66 29 53   4.15   9.20   7   0.11  10.59  0.08  10.43  0.04
NGC1311         03 20 07.4  -52 11 07   5.45  13.18   9   0.02  14.84  0.05  14.41  0.03
UGC2684         03 20 23.7  +17 17 45   6.50  16.30  10   0.14  16.45  0.19  16.66  0.07
UGC2689         03 21 27.7  +40 48 06   5.90  14.95  -2   0.15  99.99 99.99  99.99 99.99
UGC2716         03 24 07.2  +17 45 12   6.20  14.64   8   0.14  15.92  0.06  15.43  0.06
IC1959          03 33 11.8  -50 24 38   6.06  13.26   9   0.01  14.37  0.05  14.24  0.03
UGC2847         03 46 48.9  +68 05 46   3.03   9.37   6   0.56   8.48  0.13   8.31  0.27
IC2000          03 49 07.3  -48 51 31  10.70  13.00   6   0.01  15.22  0.06  14.72  0.03
ESO302-G014     03 51 40.9  -38 27 08   9.60  16.00  10   0.01  15.75  0.06  15.77  0.05
NGC1487         03 55 46.1  -42 22 05   9.10  12.34   7   0.01  13.41  0.05  13.23  0.03
ESO249-G036     03 59 15.6  -45 52 21   9.60  15.80  10   0.01  16.13  0.06  16.04  0.03
UGCA86          03 59 50.1  +67 08 37   2.96  13.50  10   0.94  14.30 99.99  14.39 99.99
NGC1510         04 03 32.6  -43 24 00   9.80  13.50  -2   0.01  15.09  0.05  14.87  0.03
NGC1512         04 03 54.3  -43 20 57   9.60  11.13   1   0.01  13.36  0.05  13.12  0.07
NGC1522         04 06 07.7  -52 40 09   9.30  13.90  11   0.01  15.15  0.05  15.02  0.03
NGC1518         04 06 49.6  -21 10 29  10.80  12.30   8   0.05  13.42  0.05  13.17  0.03
ESO483-G013     04 12 41.3  -23 09 36  10.40  14.20  -3   0.05  15.75  0.05  15.41  0.03
NGC1556         04 17 44.5  -50 09 52  10.50  13.50   2   0.02  14.83  0.05  14.62  0.03
