4,-22.69,0.000003,0.000004,1
4,-22.19,0.000015,0.000009,1
4,-21.69,0.000134,0.000023,1
4,-21.19,0.000393,0.00004,1
4,-20.69,0.000678,0.000063,1
4,-20.19,0.001696,0.000113,1
4,-19.69,0.002475,0.000185,1
4,-19.19,0.002984,0.000255,1
4,-18.69,0.005352,0.000446,1
4,-18.19,0.006865,0.001043,1
4,-17.69,0.010473,0.002229,1
6,-22.52,0.000002,0.000002,1
6,-22.02,0.000015,0.000006,1
6,-21.52,0.000053,0.000012,1
6,-21.02,0.000176,0.000025,1
6,-20.52,0.00032,0.000041,1
6,-20.02,0.000698,0.000083,1
6,-19.52,0.001246,0.000137,1
6,-18.77,0.0019,0.00032,1
6,-17.77,0.00668,0.00138,1
6,-16.77,0.01364,0.0042,1
8,-22.87,0.000002,0.000006,0
8,-22.37,0.000002,0.000006,0
8,-21.87,0.000005,0.000003,1
8,-21.37,0.000013,0.000005,1
8,-20.87,0.000058,0.000015,1
8,-20.37,0.00006,0.000026,1
8,-19.87,0.000331,0.000104,1
8,-19.37,0.000533,0.000226,1
8,-18.62,0.00106,0.00034,1
8,-17.62,0.00274,0.00104,1
